Room_ID,Date,Start_Time,End_Time,Event_Class,Event_Class_ID,Cameras,Timestamp
synth_room_1,2026-05-03,12:06:38.826,12:06:56.493,Empty,10,0|1|2,2026-05-03T12:06:38.826645
synth_room_1,2026-05-03,12:06:56.534,12:09:22.034,Human_Movement_1Human,4,0|1|2,2026-05-03T12:06:56.534978
synth_room_1,2026-05-03,12:09:22.076,12:09:30.243,Human_Movement_1Human+fall,9,0|1|2,2026-05-03T12:09:22.076645
synth_room_1,2026-05-03,12:09:30.284,12:09:32.118,Human_Movement_1Human,4,0|1|2,2026-05-03T12:09:30.284978
synth_room_1,2026-05-03,12:09:32.159,12:10:14.868,Empty,10,0|1|2,2026-05-03T12:09:32.159978
synth_room_1,2026-05-03,12:10:14.909,12:11:27.659,Human_Movement_1Human,4,0|1|2,2026-05-03T12:10:14.909978
synth_room_1,2026-05-03,12:11:27.701,12:11:38.784,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:11:27.701645
synth_room_1,2026-05-03,12:11:38.826,12:14:08.159,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:11:38.826645
synth_room_1,2026-05-03,12:14:08.201,12:14:08.409,Human_Movement_1Human,4,0|1|2,2026-05-03T12:14:08.201645
synth_room_1,2026-05-03,12:14:08.451,12:15:08.618,Empty,10,0|1|2,2026-05-03T12:14:08.451645
synth_room_1,2026-05-03,12:15:08.659,12:16:38.784,Human_Movement_1Human,4,0|1|2,2026-05-03T12:15:08.659978
synth_room_1,2026-05-03,12:16:38.826,12:19:18.034,Human_Movement_1Human,4,0|1|2,2026-05-03T12:16:38.826645
synth_room_1,2026-05-03,12:19:18.076,12:21:38.784,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:19:18.076645
synth_room_1,2026-05-03,12:21:38.826,12:24:26.534,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:21:38.826645
synth_room_1,2026-05-03,12:24:26.576,12:24:29.493,Human_Movement_1Human,4,0|1|2,2026-05-03T12:24:26.576645
synth_room_1,2026-05-03,12:24:29.534,12:26:38.784,Empty,10,0|1|2,2026-05-03T12:24:29.534978
synth_room_1,2026-05-03,12:26:38.826,12:27:41.076,Empty,10,0|1|2,2026-05-03T12:26:38.826645
synth_room_1,2026-05-03,12:27:41.118,12:29:40.951,Human_Movement_1Human,4,0|1|2,2026-05-03T12:27:41.118312
synth_room_1,2026-05-03,12:29:40.993,12:31:38.784,Empty,10,0|1|2,2026-05-03T12:29:40.993312
synth_room_1,2026-05-03,12:31:38.826,12:32:02.326,Empty,10,0|1|2,2026-05-03T12:31:38.826645
synth_room_1,2026-05-03,12:32:02.368,12:36:38.784,Human_Movement_1Human,4,0|1|2,2026-05-03T12:32:02.368312
synth_room_1,2026-05-03,12:36:38.826,12:37:40.743,Human_Movement_1Human,4,0|1|2,2026-05-03T12:36:38.826645
synth_room_1,2026-05-03,12:37:40.784,12:41:38.784,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:37:40.784978
synth_room_1,2026-05-03,12:41:38.826,12:43:55.451,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:41:38.826645
synth_room_1,2026-05-03,12:43:55.493,12:43:57.034,Human_Movement_1Human,4,0|1|2,2026-05-03T12:43:55.493312
synth_room_1,2026-05-03,12:43:57.076,12:46:27.868,Empty,10,0|1|2,2026-05-03T12:43:57.076645
synth_room_1,2026-05-03,12:46:27.909,12:46:38.784,Human_Movement_1Human,4,0|1|2,2026-05-03T12:46:27.909978
synth_room_1,2026-05-03,12:46:38.826,12:49:28.243,Human_Movement_1Human,4,0|1|2,2026-05-03T12:46:38.826645
synth_room_1,2026-05-03,12:49:28.284,12:51:34.409,Human_Movement_2+Humans,3,0|1|2,2026-05-03T12:49:28.284978
synth_room_1,2026-05-03,12:51:34.451,12:51:35.368,Human_Movement_1Human,4,0|1|2,2026-05-03T12:51:34.451645
synth_room_1,2026-05-03,12:51:35.409,12:51:38.784,Empty,10,0|1|2,2026-05-03T12:51:35.409978
synth_room_1,2026-05-03,12:51:38.826,12:53:38.243,Empty,10,0|1|2,2026-05-03T12:51:38.826645
synth_room_1,2026-05-03,12:53:38.284,12:54:53.326,Human_Movement_1Human,4,0|1|2,2026-05-03T12:53:38.284978
synth_room_1,2026-05-03,12:54:53.368,12:56:38.784,Human_Movement_1Human+Fire,7,0|1|2,2026-05-03T12:54:53.368312
synth_room_1,2026-05-03,12:56:38.826,13:01:38.784,Human_Movement_1Human+Fire,7,0|1|2,2026-05-03T12:56:38.826645
synth_room_1,2026-05-03,13:01:38.826,13:05:23.868,Human_Movement_1Human+Fire,7,0|1|2,2026-05-03T13:01:38.826645
synth_room_1,2026-05-03,13:05:23.909,13:05:29.784,Human_Movement_1Human,4,0|1|2,2026-05-03T13:05:23.909978
synth_room_1,2026-05-03,13:05:29.826,13:06:38.784,Empty,10,0|1|2,2026-05-03T13:05:29.826645
synth_room_1,2026-05-03,13:06:38.826,13:07:53.618,Empty,10,0|1|2,2026-05-03T13:06:38.826645
synth_room_1,2026-05-03,13:07:53.659,13:08:29.576,Human_Movement_1Human,4,0|1|2,2026-05-03T13:07:53.659978
synth_room_1,2026-05-03,13:08:29.618,13:11:38.784,Human_Movement_1Human+Fire,7,0|1|2,2026-05-03T13:08:29.618312
synth_room_1,2026-05-03,13:11:38.826,13:14:59.868,Human_Movement_1Human+Fire,7,0|1|2,2026-05-03T13:11:38.826645
synth_room_1,2026-05-03,13:14:59.909,13:15:03.159,Human_Movement_1Human,4,0|1|2,2026-05-03T13:14:59.909978
synth_room_1,2026-05-03,13:15:03.201,13:16:04.493,Empty,10,0|1|2,2026-05-03T13:15:03.201645
synth_room_1,2026-05-03,13:16:04.534,13:16:38.784,Human_Movement_1Human,4,0|1|2,2026-05-03T13:16:04.534978
synth_room_1,2026-05-03,13:16:38.826,13:18:12.409,Human_Movement_1Human,4,0|1|2,2026-05-03T13:16:38.826645
synth_room_1,2026-05-03,13:18:12.451,13:21:27.659,Empty,10,0|1|2,2026-05-03T13:18:12.451645
synth_room_1,2026-05-03,13:21:27.701,13:21:38.784,Human_Movement_1Human,4,0|1|2,2026-05-03T13:21:27.701645
synth_room_1,2026-05-03,13:21:38.826,13:24:18.909,Human_Movement_1Human,4,0|1|2,2026-05-03T13:21:38.826645
synth_room_1,2026-05-03,13:24:18.951,13:25:44.201,Empty,10,0|1|2,2026-05-03T13:24:18.951645
synth_room_1,2026-05-03,13:25:44.243,13:26:38.784,Human_Movement_1Human,4,0|1|2,2026-05-03T13:25:44.243312
synth_room_1,2026-05-03,13:26:38.826,13:27:00.243,Human_Movement_1Human,4,0|1|2,2026-05-03T13:26:38.826645
synth_room_1,2026-05-03,13:27:00.284,13:28:07.534,Empty,10,0|1|2,2026-05-03T13:27:00.284978
synth_room_1,2026-05-03,13:28:07.576,13:31:01.451,Human_Movement_1Human,4,0|1|2,2026-05-03T13:28:07.576645
synth_room_1,2026-05-03,13:31:01.493,13:31:38.784,Human_Movement_2+Humans,3,0|1|2,2026-05-03T13:31:01.493312
synth_room_1,2026-05-03,13:31:38.826,13:33:45.243,Human_Movement_2+Humans,3,0|1|2,2026-05-03T13:31:38.826645
synth_room_1,2026-05-03,13:33:45.284,13:36:12.076,Human_Movement_2+Fire,6,0|1|2,2026-05-03T13:33:45.284978
synth_room_1,2026-05-03,13:36:12.118,13:36:15.243,Human_Movement_2+Humans,3,0|1|2,2026-05-03T13:36:12.118312
synth_room_1,2026-05-03,13:36:15.284,13:36:16.368,Human_Movement_1Human,4,0|1|2,2026-05-03T13:36:15.284978
synth_room_1,2026-05-03,13:36:16.409,13:36:38.784,Empty,10,0|1|2,2026-05-03T13:36:16.409978
synth_room_1,2026-05-03,13:36:38.826,13:37:09.451,Empty,10,0|1|2,2026-05-03T13:36:38.826645
synth_room_1,2026-05-03,13:37:09.493,13:37:52.118,Human_Movement_1Human,4,0|1|2,2026-05-03T13:37:09.493312
synth_room_1,2026-05-03,13:37:52.159,13:39:45.659,Human_Movement_2+Humans,3,0|1|2,2026-05-03T13:37:52.159978
synth_room_1,2026-05-03,13:39:45.701,13:40:13.159,Contact_2+Humans,2,0|1|2,2026-05-03T13:39:45.701645
synth_room_1,2026-05-03,13:40:13.201,13:41:38.784,Violence_2+Humans,1,0|1|2,2026-05-03T13:40:13.201645
synth_room_1,2026-05-03,13:41:38.826,13:42:34.409,Violence_2+Humans,1,0|1|2,2026-05-03T13:41:38.826645
synth_room_1,2026-05-03,13:42:34.451,13:42:36.201,Human_Movement_2+Humans,3,0|1|2,2026-05-03T13:42:34.451645
synth_room_1,2026-05-03,13:42:36.243,13:42:38.451,Human_Movement_1Human,4,0|1|2,2026-05-03T13:42:36.243312
synth_room_1,2026-05-03,13:42:38.493,13:46:38.784,Empty,10,0|1|2,2026-05-03T13:42:38.493312
synth_room_1,2026-05-03,13:46:38.826,13:47:15.326,Empty,10,0|1|2,2026-05-03T13:46:38.826645
synth_room_1,2026-05-03,13:47:15.368,13:48:55.993,Human_Movement_1Human,4,0|1|2,2026-05-03T13:47:15.368312
synth_room_1,2026-05-03,13:48:56.034,13:51:38.784,Empty,10,0|1|2,2026-05-03T13:48:56.034978
synth_room_1,2026-05-03,13:51:38.826,13:51:48.743,Empty,10,0|1|2,2026-05-03T13:51:38.826645
